"Datum Zeit","Datum Zeit(RAW)","Antwortzeit","Antwortzeit(RAW)","Ausfallzeit","Ausfallzeit(RAW)","Abdeckung","Abdeckung(RAW)"
"17.04.2020 16:00:00 - 17:00:00","43938.6250000000","","","","","0 %","0000000000"
"17.04.2020 17:00:00 - 18:00:00","43938.6666666667","","","","","0 %","0000000000"
"17.04.2020 18:00:00 - 19:00:00","43938.7083333333","","","","","0 %","0000000000"
"17.04.2020 19:00:00 - 20:00:00","43938.7500000000","4 ms","4.2679","0 %","0.0000","100 %","0000010000"
"17.04.2020 20:00:00 - 21:00:00","43938.7916666667","27 ms","26.9333","0 %","0.0000","100 %","0000010000"
"17.04.2020 21:00:00 - 22:00:00","43938.8333333333","4 ms","4.2333","0 %","0.0000","100 %","0000010000"
"17.04.2020 22:00:00 - 23:00:00","43938.8750000000","5 ms","5.4500","0 %","0.0000","100 %","0000010000"
"17.04.2020 23:00:00 - 00:00:00","43938.9166666667","5 ms","5.3667","0 %","0.0000","100 %","0000010000"
"18.04.2020 00:00:00 - 01:00:00","43938.9583333333","10 ms","9.9833","0 %","0.0000","100 %","0000010000"
"18.04.2020 01:00:00 - 02:00:00","43939.0000000000","5 ms","5.0167","0 %","0.0000","100 %","0000010000"
"18.04.2020 02:00:00 - 03:00:00","43939.0416666667","18 ms","18.1905","0 %","0.0000","70 %","0000007000"
"18.04.2020 03:00:00 - 04:00:00","43939.0833333333","","","","","0 %","0000000000"
"18.04.2020 04:00:00 - 05:00:00","43939.1250000000","","","","","0 %","0000000000"
"18.04.2020 05:00:00 - 06:00:00","43939.1666666667","","","","","0 %","0000000000"
"18.04.2020 06:00:00 - 07:00:00","43939.2083333333","","","","","0 %","0000000000"
"18.04.2020 07:00:00 - 08:00:00","43939.2500000000","","","","","0 %","0000000000"
"18.04.2020 08:00:00 - 09:00:00","43939.2916666667","","","","","0 %","0000000000"
"18.04.2020 09:00:00 - 10:00:00","43939.3333333333","","","","","0 %","0000000000"
"18.04.2020 10:00:00 - 11:00:00","43939.3750000000","","","","","0 %","0000000000"
"18.04.2020 11:00:00 - 12:00:00","43939.4166666667","","","","","0 %","0000000000"
"18.04.2020 12:00:00 - 13:00:00","43939.4583333333","","","","","0 %","0000000000"
"18.04.2020 13:00:00 - 14:00:00","43939.5000000000","7 ms","6.8696","0 %","0.0000","77 %","0000007667"
"18.04.2020 14:00:00 - 15:00:00","43939.5416666667","5 ms","4.6833","0 %","0.0000","100 %","0000010000"
"18.04.2020 15:00:00 - 16:00:00","43939.5833333333","4 ms","4.2333","0 %","0.0000","100 %","0000010000"
"Mittelwerte (aus 11 Werten)",,"8 ms",,"0 %",,"44 %",
